mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,167172104,38.7590418,-77.5256086,-94,1763347561696,9.7,0.012851402,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590418,-77.5256086,-94,1763347561696,9.7,0.012851402,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590417,-77.5256089,-94,1763347566690,7.2,0.0065066456,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590417,-77.5256089,-94,1763347566690,7.2,0.0065066456,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590409,-77.525609,-94,1763347571703,6.0,0.016070962,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590409,-77.525609,-94,1763347571703,6.0,0.016070962,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590409,-77.525609,-94,1763347576701,6.2,5.5608758E-5,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590409,-77.525609,-94,1763347576701,6.2,5.5608758E-5,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590409,-77.525609,-94,1763347581698,9.6,2.1051592E-7,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590409,-77.525609,-94,1763347581698,9.6,2.1051592E-7,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.758965,-77.525761,-106,1763347770723,25.3,-2000.0,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.758965,-77.525761,-106,1763347770723,25.3,-2000.0,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7591095,-77.5255867,-99,1763347775724,8.7,6.3941445,38.32003,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7591095,-77.5255867,-99,1763347775724,8.7,6.3941445,38.32003,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7591116,-77.5256086,-99,1763347780787,10.4,0.53671795,254.30702,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7591116,-77.5256086,-99,1763347780787,10.4,0.53671795,254.30702,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590901,-77.5256537,-98,1763347785665,9.7,1.3760381,239.53383,LTE,20,,5124,330,,,
