mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,166566629,38.7676262,-77.485146,-90,1763409094725,4.5,0.00405475,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409099738,3.1,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409099738,3.1,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409099738,3.1,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409099738,3.1,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409104723,3.0,0.012564062,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409104723,3.0,0.012564062,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409104723,3.0,0.012564062,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409104723,3.0,0.012564062,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409109741,8.3,0.013378894,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409109741,8.3,0.013378894,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409109741,8.3,0.013378894,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-88,1763409109741,8.3,0.013378894,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-86,1763409114332,6.9,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-86,1763409114332,6.9,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-86,1763409114332,6.9,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-86,1763409114332,6.9,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-87,1763409119740,3.0,0.044935826,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-87,1763409119740,3.0,0.044935826,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-87,1763409119740,3.0,0.044935826,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7676262,-77.485146,-87,1763409119740,3.0,0.044935826,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7675112,-77.4849928,-89,1763409124736,5.2,6.209638,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7675112,-77.4849928,-89,1763409124736,5.2,6.209638,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7675112,-77.4849928,-89,1763409124736,5.2,6.209638,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7675112,-77.4849928,-89,1763409124736,5.2,6.209638,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7672345,-77.4845927,-89,1763409129740,3.0,10.576596,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7672345,-77.4845927,-89,1763409129740,3.0,10.576596,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7672345,-77.4845927,-89,1763409129740,3.0,10.576596,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7672345,-77.4845927,-89,1763409129740,3.0,10.576596,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.766949,-77.4841877,-91,1763409134721,3.0,8.09465,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.766949,-77.4841877,-91,1763409134721,3.0,8.09465,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.766949,-77.4841877,-91,1763409134721,3.0,8.09465,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.766949,-77.4841877,-91,1763409134721,3.0,8.09465,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7667487,-77.4839021,-89,1763409139723,3.0,5.522488,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7667487,-77.4839021,-89,1763409139723,3.0,5.522488,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7667487,-77.4839021,-89,1763409139723,3.0,5.522488,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7667487,-77.4839021,-89,1763409139723,3.0,5.522488,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666638,-77.4837752,-90,1763409144738,3.0,0.5926265,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666638,-77.4837752,-90,1763409144738,3.0,0.5926265,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666638,-77.4837752,-90,1763409144738,3.0,0.5926265,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666638,-77.4837752,-90,1763409144738,3.0,0.5926265,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666562,-77.4837635,-92,1763409149742,4.0,0.39238763,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666562,-77.4837635,-92,1763409149742,4.0,0.39238763,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666562,-77.4837635,-92,1763409149742,4.0,0.39238763,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666562,-77.4837635,-92,1763409149742,4.0,0.39238763,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666318,-77.4837273,-87,1763409154724,3.0,1.1882409,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666318,-77.4837273,-87,1763409154724,3.0,1.1882409,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666318,-77.4837273,-87,1763409154724,3.0,1.1882409,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7666318,-77.4837273,-87,1763409154724,3.0,1.1882409,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7665328,-77.4835386,-91,1763409159725,9.1,6.6845126,126.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7665328,-77.4835386,-91,1763409159725,9.1,6.6845126,126.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7665328,-77.4835386,-91,1763409159725,9.1,6.6845126,126.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7665328,-77.4835386,-91,1763409159725,9.1,6.6845126,126.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7662498,-77.4831175,-93,1763409164735,3.0,11.259907,130.0,LTE,21,,5124,170,,,
